0	XX	8	8
1	XX	9	9
2	XX	10	10
3	XX	11	11
4	XX	12	12
5	XX	13	13
6	XX	14	13
7	XX	15	14
8	XX	16	15
9	XX	16	15
10	XX	16	16
11	XX	17	17
12	XX	17	18
13	XX	18	18
14	XX	19	19
15	XX	19	20
16	XX	20	21
17	XX	20	22
18	XX	21	22
19	XX	22	23
20	XX	22	24
21	XX	23	25
22	XX	23	25
23	XX	24	26
24	XX	25	26
25	XX	25	27
26	XX	26	27
27	XX	26	28
28	XX	27	28
29	XX	27	29
30	XX	28	29
31	XX	28	30
32	XX	29	30
33	XX	29	31
34	XX	30	31
35	XX	30	32
36	XX	31	33
37	XX	32	33
38	XX	32	34
39	XX	33	35
40	XX	34	36
41	XX	34	36
42	XX	35	37
43	XX	35	38
44	XX	36	38
45	XX	37	XX
46	XX	37	XX
47	XX	38	XX
48	XX	XX	XX
